Type,Investor,Stock,Holding_Value_in_Cr,Quantity,Dec_2023,Sep_2023,Jun_2023,Mar_2023,Dec_2022,Sep_2022,Jun_2022,Mar_2022,Dec_2021
Individual Investor,Premji_and_Associates,Wipro_Ltd,194980.9,3804505118,0.728,0.729,0.728,0.729,0.729,0.729,0.729,0.729,0.729
Individual Investor,Radhakishan_Damani,3M_India_Ltd,490.2,166700,0.015,0.015,0.015,0.015,0.015,0,0.015,0.015,0.015
Individual Investor,Radhakishan_Damani,Advani_Hotels_and_Resorts_(India)_Ltd,31.2,1930009,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042
Individual Investor,Radhakishan_Damani,Aptech_Ltd,37.5,1757317,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Individual Investor,Radhakishan_Damani,Astra_Microwave_Products_Ltd,,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01
Individual Investor,Radhakishan_Damani,BF_Utilities_Ltd,27.3,381000,0.01,0.01,0.01,0.01,0.01,0.013,0.013,0.013,0.013
Individual Investor,Radhakishan_Damani,Blue_Dart_Express_Ltd,172.3,306770,0.013,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.015
Individual Investor,Radhakishan_Damani,India_Cements_Ltd,1311.5,64398190,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.211
Individual Investor,Radhakishan_Damani,Andhra_Paper_Ltd,19.8,399296,0.01,0.01,0.013,0.013,0.013,0,0.013,0.013,0.013
Individual Investor,Radhakishan_Damani,Man_Infraconstruction_Ltd,,0,0,0,0,0,0,0,0,0,0.01
Individual Investor,Radhakishan_Damani,Sundaram_Finance_Ltd,974.2,2630434,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
Individual Investor,Radhakishan_Damani,Trent_Ltd,2191.5,5421131,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Individual Investor,Radhakishan_Damani,United_Breweries_Ltd,546.3,3195834,0.012,0.012,0.012,0.012,0.012,0,0.012,0.012,0.012
Individual Investor,Radhakishan_Damani,VST_Industries_Ltd,1707,4741720,0.307,0.307,0.307,0.307,0.307,0.323,0.323,0.323,0.323
Individual Investor,Radhakishan_Damani,Mangalam_Organics_Ltd,5.9,186187,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
