Index,Segment,Investor,stock,Holding_value,Quantity,Dec-23,Sep-23,Jun-23,Mar-23,Dec-22,Sep-22,Jun-22,Mar-22,Dec-21,Sep-21
1,Individual Investor,Premji_and_Associates,Wipro_Ltd,194980.9063,3804505118,0.727999985,0.728999972,0.727999985,0.728999972,0.727999985,0.728999972,0.728999972,0.728999972,0.728999972,0.728999972
2,Individual Investor,Radhakishan_Damani,3M_India_Ltd,490.2000122,166700,0.015,0.015,0.015,0.015,0.015,0.015,0,0.015,0.015,0.015
3,Individual Investor,Radhakishan_Damani,Advani_Hotels_and_Resorts_(India)_Ltd,31.20000076,1930009,0.041999999,0.041999999,0.041999999,0.041999999,0.041999999,0.041999999,0.041999999,0.041999999,0.041999999,0.041999999
4,Individual Investor,Radhakishan_Damani,Aptech_Ltd,37.5,1757317,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999,0.029999999
5,Individual Investor,Radhakishan_Damani,Astra_Microwave_Products_Ltd,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.01,0.01
6,Individual Investor,Radhakishan_Damani,BF_Utilities_Ltd,27.29999924,381000,0.01,0.01,0.01,0.01,0.01,0.01,0.013,0.013,0.013,0.013
7,Individual Investor,Radhakishan_Damani,Blue_Dart_Express_Ltd,172.3000031,306770,0.013,0.013,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.015
8,Individual Investor,Radhakishan_Damani,India_Cements_Ltd,1311.5,64398190,0.208000004,0.208000004,0.208000004,0.208000004,0.208000004,0.208000004,0.208000004,0.208000004,0.208000004,0.210999995
9,Individual Investor,Radhakishan_Damani,Andhra_Paper_Ltd,19.79999924,399296,0.01,0.01,0.013,0.013,0.01,0.013,0,0.013,0.013,0.013
10,Individual Investor,Radhakishan_Damani,Man_Infraconstruction_Ltd,0,0,0,0,0,0,0,0,0,0,0,0.01
11,Individual Investor,Radhakishan_Damani,Sundaram_Finance_Ltd,974.2000122,2630434,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
12,Individual Investor,Radhakishan_Damani,Trent_Ltd,2191.5,5421131,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
13,Individual Investor,Radhakishan_Damani,United_Breweries_Ltd,546.2999878,3195834,0.012,0.012,0.012,0.012,0.012,0.012,0,0.012,0.012,0.012
14,Individual Investor,Radhakishan_Damani,VST_Industries_Ltd,1707,4741720,0.307000011,0.307000011,0.307000011,0.307000011,0.307000011,0.307000011,0.323000014,0.323000014,0.323000014,0.323000014
15,Individual Investor,Radhakishan_Damani,Mangalam_Organics_Ltd,5.900000095,186187,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
16,Individual Investor,Radhakishan_Damani,Avenue_Supermarts_Ltd,173453.4063,437444720,0.671999991,0.671999991,0.671999991,0.675000012,0.671999991,0.675000012,0.675000012,0.675000012,0.75,0.75
17,Individual Investor,Radhakishan_Damani,Sundaram_Finance_Holdings_Ltd,76.19999695,4170434,0.018999999,0.018999999,0.018999999,0.018999999,0.018999999,0.018999999,0.018999999,0.018999999,0.018999999,0.018999999
18,Individual Investor,Radhakishan_Damani,Metropolis_Healthcare_Ltd,0,0,0,0,0,0,0,0,0.011,0.011,0.011,0.012
19,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Anant_Raj_Ltd,0,0,0,0,0,0,0,0,0.030999999,0.034000002,0.034000002,0.034000002
20,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Aptech_Ltd,542.7999878,25357236,0.437000006,0.437000006,0.437000006,0.437000006,0.437000006,0.437999994,0.437999994,0.437999994,0.437999994,0.43900001
21,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Agro_Tech_Foods_Ltd,140.6000061,1983259,0.081,0.081,0.081,0.082000002,0.081,0.082000002,0.082000002,0.082000002,0.082000002,0.082000002
22,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Autoline_Industries_Ltd,0,0,0,0,0.025,0.039999999,0,0.043000001,0,0.045000002,0.046,0.046
23,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Canara_Bank,2069.699951,37597600,0.021,0.021,0.021,0.021,0.021,0.021,0.015,0.02,0.02,0.016000001
24,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Crisil_Ltd,2023.699951,4000000,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055
25,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,D_B_Realty_Ltd,326.3999939,15000000,0.029999999,0.02,0.014,0.014,0.029999999,0.015,0.015,0.018999999,0.021,0.021
26,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Delta_Corp_Ltd,0,0,0,0,0,0,0,0,0,0,0.075000003,0.075000003
27,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Edelweiss_Financial_Services_Ltd,0,0,0,0,0,0.013,0,0.015,0.015,0.016000001,0.016000001,0.016000001
28,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Escorts_Kubota_Ltd,483.2999878,1790388,0.016000001,0.016000001,0.016000001,0.014,0.016000001,0.014,0.014,0.014,0,0.052000001
29,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Federal_Bank_Ltd,1072.5,72713440,0.029999999,0.030999999,0.035,0.035,0.029999999,0.035,0.026000001,0.035999998,0.037,0.037
30,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Fortis_Healthcare_Ltd,1395.5,35152108,0.046999998,0.046999998,0.045000002,0.045000002,0.046999998,0.045000002,0.046999998,0.041999999,0.041999999,0.041999999
31,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Geojit_Financial_Services_Ltd,126.1999969,19637500,0.082000002,0.082000002,0.082000002,0.083999999,0.082000002,0.083999999,0.075000003,0.075000003,0.075999998,0.075999998
32,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Indiabulls_Real_Estate_Ltd,0,0,0,0,0,0,0,0,0,0,0.011,0.011
33,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Indiabulls_Housing_Finance_Ltd,0,0,0,0,0,0,0,0,0,0.012,0.013,0.011
34,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Indian_Hotels_Company_Ltd,1664.099976,30016965,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.022
35,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Jubilant_Pharmova_Ltd,605.2000122,10645000,0.067000002,0.067000002,0.067000002,0.068000004,0.067000002,0.068000004,0.068000004,0.068000004,0.068000004,0.063000001
36,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Karur_Vysya_Bank_Ltd,657.9000244,37166719,0.046,0.046,0,0.046999998,0.046,0.046999998,0.044,0.045000002,0.045000002,0.045000002
37,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Man_Infraconstruction_Ltd,0,0,0,0,0,0,0,0,0.012,0.012,0.012,0.012
38,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,National_Aluminium_Company_Ltd,0,0,0,0,0,0,0,0,0,0,0.014,0.014
39,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,NCC_Ltd,1850.699951,82180932,0.130999997,0.130999997,0.130999997,0.130999997,0.130999997,0.130999997,0.126000002,0.126000002,0.128000006,0.128000006
40,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Orient_Cement_Ltd,0,0,0,0,0,0,0,0,0.012,0.012,0.012,0.012
41,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Prozone_Realty_Ltd,0,0,0,0,0,0.021,0,0.021,0.021,0.021,0.021,0.021
42,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Rallis_India_Ltd,0,0,0,0,0.078000002,0.103,0,0.103,0.093999997,0.097999997,0.097999997,0.097999997
43,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Steel_Authority_of_India_(SAIL)_Ltd,0,0,0,0,0,0,0,0,0,0,0,0.011
44,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Sun_Pharma_Advanced_Research_Company_Ltd,228.3999939,6292134,0.018999999,0.018999999,0.018999999,0.018999999,0.018999999,0,0,0,0,0
45,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Tata_Communications_Ltd,1013.400024,5234687,0.017999999,0.017999999,0.017999999,0.017999999,0.017999999,0.017999999,0.016000001,0.011,0.011,0.011
46,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Tata_Motors_Ltd,5119.200195,53256000,0.016000001,0.016000001,0.016000001,0.016000001,0.016000001,0.016000001,0.011,0.011,0.012,0.012
47,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Titan_Company_Ltd,17070.40039,47695970,0.054000001,0.054000001,0.054000001,0.052999999,0.054000001,0.052000001,0.055,0.050999999,0.050999999,0.050999999
48,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,TV18_Broadcast_Ltd,0,0,0,0,0,0,0,0,0,0,0.012,0.015
49,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Va_Tech_Wabag_Ltd,350.7000122,5000000,0.079999998,0.079999998,0.079999998,0.079999998,0.079999998,0.079999998,0.079999998,0.079999998,0.079999998,0.079999998
50,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Wockhardt_Ltd,153.1999969,2935005,0.02,0.02,0.02,0.021,0.02,0.021,0.021,0.021,0.021,0.023
51,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Singer_India_Ltd,35.09999847,4250000,0.07,0.07,0.07,0.07,0.07,0.079000004,0.079000004,0,0,0
52,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Bilcare_Ltd,0,0,0,0,0,0,0,0.074000001,0,0.085000001,0,0.085000001
53,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Raghav_Productivity_Enhancers_Ltd,69.59999847,1174252,0.050999999,0.050999999,0.050999999,0.052000001,0.050999999,0,0,0,0,0
54,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Dishman_Carbogen_Amcis_Ltd,0,0,0,0,0,0,0,0.016000001,0.032000002,0.032000002,0.032000002,0.032000002
55,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Nazara_Technologies_Ltd,441.1000061,6588620,0.090000004,0.100000001,0.100000001,0.100000001,0.090000004,0.100000001,0.100000001,0.100000001,0.101000004,0.101000004
56,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Jubilant_Ingrevia_Ltd,215.6999969,4965000,0.030999999,0.030999999,0.030999999,0.032000002,0.030999999,0.032000002,0.032000002,0.046999998,0.046999998,0.046999998
57,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Star_Health_and_Allied_Insurance_Company_Ltd,5551.5,100753935,0.172000006,0.172999993,0.172999993,0.172999993,0.172000006,0.172999993,0.173999995,0.174999997,0.174999997,0.174999997
58,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Metro_Brands_Ltd,2731.600098,26102394,0.096000001,0.096000001,0.096000001,0.143999994,0.096000001,0.143999994,0.143999994,0.143999994,0.143999994,0.143999994
59,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Concord_Biotech_Ltd,3603.699951,25199240,0.240999997,0.240999997,0,0,0.240999997,0,0,0,0,0
60,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Aptech_Ltd,289.7000122,13536376,0.232999995,0.233999997,0.232999995,0.233999997,0.232999995,0.233999997,0.111000001,0.111000001,0.111000001,0.111000001
